Console,GameName,Score
PC,Baldur's Gate 3 Early Access Review,6
NS,Control: Ultimate Edition Cloud Version Review,7
"XONE, PC, PS4",Doom Eternal: The Ancient Gods Part 1 Review,7
"XONE, PC, PS4",Watch Dogs: Legion Review,8
PC,Ring Of Pain Review,8
NS,Pikmin 3 Deluxe Review,8
"PC, XONE, PS4",Ghostrunner Review,7
"PC, NS",Disc Room Review – Getting Buzzed,8
"XONE, PS4",NHL 21 Review,9
PC,Noita Review,7
PC,Amnesia: Rebirth Review,8
"PC, PS4",Genshin Impact Review – Direct Hit,7
"PC, XONE, PS4, NS",Ikenfell Review,6
NS,Ring Fit Adventure Review: One Year Later,9
"XONE, PC, PS4",Star Wars: Squadrons Review – Catch Me If You Can,7
"NS, NS",Mario Kart Live: Home Circuit Review – Making Tracks,7
PC,I Am Dead Review – Staying Alive,7
PS4,FIFA 21 Review – A Goal Bonanza,8
NS,Super Mario Bros. 35 Review – Mario Royale,7
PC,The Solitaire Conspiracy Review – Jack Of All Trades,7
"XONE, PS4",Crash Bandicoot 4 Review – Platformer's Delight,8
NS,Kirby Fighters 2 Review – 2 Kirby 2 Furious,6
PC,Pendragon Review – Endless Legends,6
PC,Serious Sam 4 Review – The Fourth Encounter,7
PS4,NBA 2K21 Review – Ball Another Day,6
PC,Crusader Kings 3 Review – Pass the Duchy,8
PS4,Spelunky 2 Review –  Snakes On A 2D Plane,8
PC,Mafia: Definitive Edition Review – An Offer You Could Probably Refuse,6
PC,Surgeon Simulator 2 Review – Surgical Imprecision,6
"PC, NS","Hades Review – The Long, Hard Road Out of Hell",9
PS4,"13 Sentinels: Aegis Rim Review – Wow, Cool Robot!",9
NS,Super Mario 3D All-Stars Review – Shoot For The Stars,8
PC,Road To Guangdong Review – Are We There Yet?,2
"PC, PS4, XONE, NS",Vampire: The Masquerade - Shadows Of New York Review,6
PS4,"Othercide Review – Mother, May I",8
PC,Marvel's Avengers Review – Infinity War,7
"XONE, PC",Tell Me Why Review,7
NS,Moon Review – The Bright Side,8
PC,Star Renegades Review – The Heat Of The Moment,8
NS,The Last Campfire Review – One Step At A Time,8
"PS4, XONE",Tony Hawk's Pro Skater 1 + 2 Review – I'm A Superman,9
"PC, NS",Paradise Killer Review,9
"PC, PS4, NS",Evergate Review – Ever Great,8
PS4,Madden 21 Review – Feels More Like An Update,6
"PC, NS",A Short Hike Review,9
"PS4, PC, XONE",Project Cars 3 Review – Into The Horizon,7
